Recency,Frequency,Monetary,F_rank,R_rank,M_rank,RFM_Score,Segment
2596.0,1,368.52,3,3,5,335,Big Spenders
2523.0,1,411.33,3,2,5,235,Big Spenders
2849.0,1,143.71,3,5,4,534,Other
2712.0,1,366.27,3,4,5,435,Big Spenders
2685.0,1,182.36,3,3,4,334,Potential Loyalists
2817.0,1,124.33,3,5,3,533,Other
2701.0,1,212.8,3,4,5,435,Big Spenders
2916.0,1,190.62,3,5,4,534,Other
2477.0,1,68.43,3,1,2,132,New Customers
2904.0,1,96.99,3,5,3,533,Other
2566.0,1,55.22,3,2,2,232,Other
2821.0,1,434.35,3,5,5,535,Big Spenders
2539.0,1,162.28,3,2,4,234,Other
2454.0,1,33.34,3,1,1,131,New Customers
2735.0,1,62.01,3,4,2,432,Potential Loyalists
2908.0,1,116.22,3,5,3,533,Other
2450.0,1,105.6,3,1,3,133,New Customers
2617.0,1,57.6,3,3,2,332,Potential Loyalists
2834.0,1,31.58,3,5,1,531,Low Value
2825.0,1,328.6,3,5,5,535,Big Spenders
2628.0,1,36.01,3,3,1,331,Low Value
2476.0,1,72.08,3,1,2,132,New Customers
2811.0,1,60.1,3,4,2,432,Potential Loyalists
2656.0,1,162.06,3,3,4,334,Potential Loyalists
2603.0,1,42.38,3,3,1,331,Low Value
2615.0,1,42.0,3,3,1,331,Low Value
2763.0,1,257.92,3,4,5,435,Big Spenders
2707.0,1,165.5,3,4,4,434,Potential Loyalists
2632.0,1,182.84,3,3,4,334,Potential Loyalists
2667.0,1,67.39,3,3,2,332,Potential Loyalists
2642.0,1,558.92,3,3,5,335,Big Spenders
2909.0,1,29.1,3,5,1,531,Low Value
2755.0,1,218.16,3,4,5,435,Big Spenders
2656.0,1,78.9,3,3,2,332,Potential Loyalists
2832.0,1,141.23,3,5,4,534,Other
2807.0,1,79.1,3,4,2,432,Potential Loyalists
2517.0,1,84.66,3,2,2,232,Other
2447.0,1,1318.06,3,1,5,135,New Customers
2579.0,1,222.92,3,2,5,235,Big Spenders
2975.0,1,110.3,3,5,3,533,Other
2646.0,1,119.84,3,3,3,333,Potential Loyalists
2566.0,1,46.19,3,2,1,231,Low Value
2596.0,1,102.38,3,3,3,333,Potential Loyalists
2654.0,1,153.09,3,3,4,334,Potential Loyalists
2547.0,1,65.22,3,2,2,232,Other
2504.0,1,0.0,3,1,1,131,New Customers
