False,True
7,0
3,0
16,0
1,0
1,0
2,0
3,0
1,0
1,0
5,0
2,0
1,0
5,0
36,2
13,0
1,0
43,1
1,1
1,0
1,0
28,0
8,2
3,0
4,0
8,1
9,2
1,0
4,0
29,0
2,0
172,13
5,0
0,1
1,0
1,0
1,0
13,1
2,0
1,0
1,0
6,0
52,1
1,0
103,8
1,0
2,0
8,0
4,0
2,0
1,0
7,0
2,0
1,0
2,0
1,0
2,0
2,0
12,0
1,0
9,2
1,0
3,0
3,0
14,4
499,71
1,0
4,0
1,0
1,0
1,0
31,1
2,0
32,2
0,1
1,0
2,1
3,0
3,1
4,0
10,3
543,111
1,0
1,0
1,2
81,6
1,0
0,1
14,1
153,8
3,0
51,1
1,0
2,0
96,4
3,0
1,0
108,1
1,1
13,1
1,0
5,0
1,0
2,0
1,0
5,1
3,0
2,0
26,0
1,0
5,0
1,0
1,0
1,0
1,0
3,1
3,0
4,0
30,1
28,0
10,0
22,1
3,0
1,0
5,0
29,1
3,0
2,0
3,0
2,0
1,0
4,1
1,0
6,1
1,0
2,0
7,1
0,1
1,0
9,1
0,1
1,3
1,0
2,0
2,0
1,0
2,0
13,0
4,0
1,0
17,1
3,0
616,76
3,0
6,2
2,0
8,0
9,1
11,0
9,2
3,0
0,1
1,0
3,1
3,0
1,0
1,0
2,0
1,0
4,0
136,5
1,0
5,0
30,0
1,0
1,0
2,0
4,1
2,1
3,0
10,1
109,3
6,0
1,0
1,0
1,0
4,1
16,0
4,0
28,3
8,0
39,4
1,0
2,0
3,0
2,0
1,0
30,8
17,1
1,0
6,0
3,0
22,1
1,0
6,0
17,1
10,0
8,2
5,0
4,0
3,0
4,0
4,0
13,0
9,0
6,1
2,0
5,0
5,0
5,0
59,8
1,0
62,3
1,0
2,0
18,1
11,0
2,0
91,7
9,0
2,0
5,0
12,2
2,0
214,12
3,1
1117,72
1,0
1,0
32,5
1,0
1,1
1,0
4,0
0,1
1,0
24,0
1,0
1,0
3,0
2,0
9,0
1,0
3,0
8,0
1,1
24,0
3,2
4,1
7,0
115,30
1,0
4,0
1,0
0,1
6,0
4,0
2,0
4,0
3,1
1,0
3,0
11,0
1,0
12,1
2,0
8,1
1,0
1,0
8,1
2,0
3,0
1,0
3,1
3,0
1,0
2,0
5,0
2,0
3,0
1,0
2,1
1,0
2,0
12,0
7,0
1,0
4,0
1,0
2,0
1,1
13,0
1,0
5,0
2,0
49,1
21,0
1,0
22,0
1,0
1,0
1,0
1,0
29,2
7,0
5,0
19,2
2,0
1,0
1,0
9,0
2,0
5,3
5,0
2,0
5,0
0,2
0,1
4,0
6,1
11,0
1,0
1,0
11,2
5,0
1,0
1,0
1,1
16,1
13,6
2,0
14,0
2,0
4,0
13,2
52,0
4,0
2,2
0,1
1,0
23,1
44,2
60,12
4,0
1,0
3,0
1,2
2,0
12,1
2,0
32,2
8,0
4,0
3,0
32,8
5,0
1,2
4,0
2,0
26,0
272,8
1,0
3,0
5,1
3,0
4,0
0,1
1,0
0,1
5,2
1,1
7,0
2,0
0,1
14,2
2,0
1,0
3,0
1,0
7,1
13,0
7,0
1,1
163,8
1,0
7,0
2,0
0,1
18,0
4,0
3,0
8,0
2,0
10,0
4,0
1,0
1,0
1,0
2,0
14,3
16,1
5,1
4,0
3,1
3,0
0,1
3,0
0,1
5,0
1,0
1,1
17,1
2,0
2,0
2,0
4,0
2,0
4,0
6,0
4,1
2,0
22,0
2,0
12,1
1,0
4,0
2,0
1,0
3,0
0,1
14,2
1,1
2,0
3,1
7,0
9,1
6,0
1,0
74,5
1,0
31,1
50,10
53,9
3,0
7,1
0,1
1,0
2,0
1,1
1,0
7,2
1,0
43,5
2,0
2,0
1,0
2,0
10,0
1,0
7,1
4,0
6,0
4,0
2,1
3,0
105,15
10,0
2,1
1,0
92,2
3,0
13,1
10,2
8,0
3,0
6,0
2,0
6,2
2,0
2,0
10,0
77,3
13,1
1,0
1,0
4,0
6,0
1,2
14,2
3,1
1,0
5,0
5,1
1,0
1,0
13,0
88,10
4,0
6,0
43,1
3,1
3,1
35,12
2,0
18,0
72,6
57,1
159,11
1,1
10,1
53,2
12,0
2,0
2,0
3,0
3,0
2,0
6,3
26,2
3,0
13,1
0,1
6,1
6,0
7,0
153,19
8,1
1,1
2,0
3,0
3,0
28,1
1,0
5,1
15,3
1,1
96,1
1,0
3,0
4,0
2,0
5,0
4,1
2,0
52,5
3,0
1,0
1,1
3,0
4,0
7,0
1,1
127,9
3,0
3,0
2,0
53,3
35,1
40,4
1,0
15,0
14,1
1,0
30,0
1,1
2,0
7,0
3,0
3,0
1,0
12,1
127,8
2,0
3,0
2,0
53,1
1,0
3,1
1,0
8,0
0,1
182,12
17,0
2,0
2,1
1,1
2,0
4,0
22,2
4,0
0,1
0,1
6,0
5,0
18,1
1,0
1,1
1,0
8,0
14,0
1,0
3,0
19,0
1,0
5,0
61,1
4,0
2,0
6,0
29,1
1,0
1,0
4,0
1,0
17,0
1,0
7,1
2,0
81,4
0,1
3,0
19,3
1,0
1,0
29,5
0,1
3,0
1,0
4,1
5,0
3,0
1,0
7,0
82,7
2,0
5,0
1,0
2,0
1,0
3,0
1,0
13,0
4,0
19,0
6,0
51,3
1,0
1,1
4,1
72,2
0,1
1,0
4,1
6,0
1,0
0,1
2,0
32,4
2,0
2,0
11,0
5,1
1,0
1,0
2,0
4,1
4,0
2,0
16,1
4,0
0,1
24,2
1,0
6,0
2,1
2,0
1,0
5,0
50,1
8,0
227,29
14,2
3,0
2,2
1,0
2,1
240,24
5,0
1,0
12,0
1,0
3,0
0,1
5,0
5,0
4,0
35,9
30,4
0,1
2,0
4,0
16,1
402,25
9,1
2,0
3,0
2,0
532,33
3,0
2,0
15,0
2,0
10,0
21,0
1,1
1,0
1,0
1,0
6,0
3,0
1,0
2,0
4,0
2,0
1,0
4,0
2,0
2,0
2,0
5,0
8,3
77,8
3,2
1,0
0,1
1,0
0,1
4,1
11,0
1,0
1,0
2,0
1,0
2,0
1,0
